Date,Time,Open,High,Low,Close,Volume
2022.02.22,18:30,1.13411,1.13539,1.13406,1.13433,2533
2022.02.22,19:00,1.13431,1.13431,1.13248,1.13291,1777
2022.02.22,19:30,1.13291,1.13346,1.13284,1.13333,1437
2022.02.22,20:00,1.13332,1.13380,1.13276,1.13287,1393
2022.02.22,20:30,1.13283,1.13318,1.13250,1.13285,1094
2022.02.22,21:00,1.13285,1.13331,1.13220,1.13281,1901
2022.02.22,21:30,1.13282,1.13410,1.13265,1.13345,2720
2022.02.22,22:00,1.13344,1.13408,1.13344,1.13394,1580
2022.02.22,22:30,1.13389,1.13394,1.13235,1.13244,1731
2022.02.22,23:00,1.13241,1.13290,1.13236,1.13261,263
2022.02.22,23:30,1.13260,1.13281,1.13242,1.13242,304
2022.02.23,00:00,1.13343,1.13343,1.13218,1.13268,44
2022.02.23,00:30,1.13270,1.13281,1.13244,1.13255,225
2022.02.23,01:00,1.13256,1.13311,1.13253,1.13301,313
2022.02.23,01:30,1.13304,1.13306,1.13268,1.13289,246
2022.02.23,02:00,1.13290,1.13353,1.13285,1.13334,287
2022.02.23,02:30,1.13332,1.13349,1.13322,1.13333,288
2022.02.23,03:00,1.13332,1.13346,1.13310,1.13338,545
2022.02.23,03:30,1.13337,1.13359,1.13293,1.13349,564
2022.02.23,04:00,1.13350,1.13388,1.13278,1.13280,451
2022.02.23,04:30,1.13281,1.13281,1.13203,1.13222,609
2022.02.23,05:00,1.13221,1.13250,1.13199,1.13247,353
2022.02.23,05:30,1.13248,1.13263,1.13230,1.13257,292
2022.02.23,06:00,1.13258,1.13263,1.13238,1.13246,218
2022.02.23,06:30,1.13245,1.13255,1.13231,1.13255,266
2022.02.23,07:00,1.13256,1.13301,1.13225,1.13230,471
2022.02.23,07:30,1.13231,1.13256,1.13217,1.13255,367
2022.02.23,08:00,1.13254,1.13303,1.13253,1.13275,346
2022.02.23,08:30,1.13274,1.13280,1.13221,1.13221,345
2022.02.23,09:00,1.13220,1.13252,1.13159,1.13230,1533
2022.02.23,09:30,1.13229,1.13426,1.13211,1.13397,2201
2022.02.23,10:00,1.13395,1.13422,1.13338,1.13388,2387
2022.02.23,10:30,1.13388,1.13473,1.13377,1.13473,1704
2022.02.23,11:00,1.13472,1.13490,1.13440,1.13447,1779
2022.02.23,11:30,1.13448,1.13588,1.13377,1.13556,1859
2022.02.23,12:00,1.13556,1.13581,1.13498,1.13547,1967
2022.02.23,12:30,1.13546,1.13579,1.13502,1.13509,1731
2022.02.23,13:00,1.13511,1.13530,1.13412,1.13423,1740
2022.02.23,13:30,1.13423,1.13449,1.13400,1.13402,1474
2022.02.23,14:00,1.13402,1.13459,1.13400,1.13430,1462
2022.02.23,14:30,1.13430,1.13488,1.13370,1.13375,1521
